text,text_clean,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',cowok berusaha melacak perhatian gue lantas remehkan perhatian gue kasih khusus basic cowok bego,1,1,1,0,0,0,0,0,1,1,0,0
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',telat tau edan sarap gue bergaul cigax jifla calis licew,0,1,0,0,0,0,0,0,0,0,0,0
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",41 kadang berpikir percaya tuhan jatuh berkali kali kadang tuhan meninggalkan orang tuaku berencana berpisah kakakku memilih kristen anak ter,0,0,0,0,0,0,0,0,0,0,0,0
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',ku tau matamu sipit,0,0,0,0,0,0,0,0,0,0,0,0
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',kaum cebong kafir dongoknya dungu haha,1,1,0,1,1,0,0,0,0,0,1,0
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',ya bani taplak kawan kawan,1,1,0,1,0,0,0,0,1,0,1,0
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasi pilihan kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,gue selesai re watch aldnoah zero kampret 2 karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",admin belanja po terbaik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak me uaku taipan 2 kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
USER Enak lg klo smbil ngewe',enak ngewe,0,1,0,0,0,0,0,0,0,0,0,0
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",gue jari gue ukur nyali bacot,1,1,1,0,0,0,0,0,1,1,0,0
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,aktor huru hara 98 prabowo si lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',bu guru enakan jablay guru sekolah dasar sih kayaknya menikmati pecun guru,1,1,1,0,0,0,0,1,0,1,0,0
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",lawan bicara gue intelek kayak otak kencing onta gue mengakui hadis nabi sahih kafir kayak menolak ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
